_id,id,photo,name,proms
ObjectID(5c8e3efa29a5682fb49048ef),1,https://img.epetht.com/nowater/2017-09/21/20/760d407f3934b1e8fc788f089ff8daea.jpg,老犬粮,304
ObjectID(5c8e5ceb29a5682fb49048f0),2,https://img.epetht.com/nowater/cates/2014-03/24/3512594b71a2efd14b5c5925848d2e5a.jpg,处干粮,
5c8e3eb529a5682fb49048ed,3,https://img.epetht.com/nowater/2017-09/21/20/1a512b46eb283c302c194ad73d59d5b8.jpg,da犬粮,
ObjectID(5c8eff212943c326982d6e0a),4,https://img2.epetbar.com/nowater/2018-10/12/00/3479f3e45d0e230fe7a49a89d65a1173.jpg,外套棉服,
ObjectID(5c8eff5e2943c326982d6e0b),5,https://img2.epetbar.com/nowater/2018-10/12/00/4c56735a6e4b9fe02f1d99cb4853ee62.jpg,时尚卫衣,
ObjectID(5c8eff7f2943c326982d6e0c),6,https://img2.epetbar.com/nowater/2018-10/12/00/27613f1ce5ba98d1d18b05f24ca609a7.jpg,装饰项圈,
ObjectID(5c8eff992943c326982d6e0d),7,https://img2.epetbar.com/nowater/2018-10/12/01/3b64528529a60ba8e7fd542bc331aebb.jpg,变装配饰,
ObjectID(5c8effb32943c326982d6e0e),8,https://img2.epetbar.com/nowater/2018-10/12/00/bea2deb2e9f205b7649c972e8966070c.jpg,断码清仓,
ObjectID(5c8f00152943c326982d6e0f),9,https://img2.epetbar.com/nowater/2018-10/11/23/4686350e41877c7ee0718bc25c7a1454.jpg,深睡眠窝,
5c8e3eeb29a5682fb49048ee,10,https://img2.epetbar.com/nowater/2018-10/11/23/2581db87f61e1042cc36c55e7a88984c.jpg,舒适睡垫,
ObjectID(5c8f00802943c326982d6e10),11,https://img2.epetbar.com/nowater/2018-10/11/23/2581db87f61e1042cc36c55e7a88984c.jpg,舒适睡垫,
ObjectID(5c8f00972943c326982d6e11),12,https://img2.epetbar.com/nowater/2018-10/12/00/60ca0a6ed562b8b1fe670a7806ecd894.jpg,逗猫帐篷,
ObjectID(5c8f00b32943c326982d6e12),13,https://img2.epetbar.com/nowater/2018-10/12/00/7f8284bf3c0e37b3523894fc908b08b0.jpg,猫咪床具,
5c8e3efa29a5682fb49048ef,14,https://img2.epetbar.com/nowater/2017-05/26/10/209951b1f61083be7bba561de378316c.jpg,罐头湿粮,304
ObjectID(5c8f01a72943c326982d6e13),15,https://img2.epetbar.com/nowater/2017-05/26/10/209951b1f61083be7bba561de378316c.jpg,罐头湿粮,304
ObjectID(5c8f01bc2943c326982d6e14),16,https://img2.epetbar.com/nowater/cates/2014-03/24/f69a4d7065b4092ef26433c2a45b7e9e.jpg,美味零食,304
ObjectID(5c8f01d22943c326982d6e15),17,https://img2.epetbar.com/nowater/cates/2015-04/23/fe4d16eea973acba44691cecfd2dec05.jpg,猫草薄荷,304
ObjectID(5c8f02072943c326982d6e16),18,https://img2.epetbar.com/nowater/2018-01/11/11/f7a400cb34cc89fe9743a11106203aba.jpg,肉制零食,304
