username,img,title1,view_K,zan,zan_K,petmsg,title,showtime
莉莉妈,https://img1.epetbar.com/2017-06/05/10/9db2bb15f576368cc34f16c1061e90ec.jpg,体验师,50,0,0,贵宾 2岁4个月26天,可以吃的牙刷-麦富迪狗零食清齿倍健迷你号,11分钟前
主人_xNBxn0UNkJ,https://img1.epetbar.com/2019-03/11/14/6c689acd684fbf950f306fbe2e8533f9.jpg,体验师,56,2,0,金毛 1岁23天,啃玩具我们是认真的,44分钟前
眉眼如墨,https://img1.epetbar.com/2019-03/14/17/b5a3540379f0f04effe15100e717ed3f.jpg,体验师,35,5,0,巴哥犬 1岁2个月1天,休普小脚丫-始于颜值陷于质量忠于实用,4小时前
estrella731,https://img1.epetbar.com/2019-03/13/20/86708a123af9a134b65271431a83cbc3.jpg,体验师,32,6,0,金毛 8岁2个月17天,一杯在手，畅饮无忧,2天前
BABE包兒,https://img1.epetbar.com/2019-02/28/15/45c20df743616d876b2b4b570b9c8873.jpg,体验师,4,7,0,金毛 8岁2个月17天,吃喝玩乐我最棒,2天前
主人_2r5qRkt6t2,https://img1.epetbar.com/2019-03/11/10/4ccb0e7bac3370040030ee63a1ac1ea9.jpg,体验师,86,8,0,柯基犬 9个月9天,来自雪糕的问候——蒙贝塔拉牛肉,2天前
甜甜要荔枝,https://img1.epetbar.com/2019-03/13/20/df4b39e3018c48ad2a15308466398bba.jpg,体验师,70,9,0,贵宾 3岁6个月8天,宠儿香靓宝宠物营养零食——美味但不要贪嘴喔～,2天前
主人_5Cvc0a8HhZ,https://img1.epetbar.com/2019-03/13/16/570ff3ee3d3ccc0faf239a24e51d187e.jpg,体验师,55,10,0,比格 1岁2个月,petmate牌子的CHUCKIT坚固棒产品分享,3天前
小柯基Kimi的日常,https://img1.epetbar.com/2019-03/11/10/ef06a45e765f0090b810d80d1ba705a2.jpg,体验师,10,11,0,柯基犬 11个月25天,Pura Naturals Pet洁齿  和主人亲密无间,3天前
SylviaW,https://img1.epetbar.com/2019-03/12/10/13a3949cf03a0e05976abf6ee7440c17.jpg,体验师,99,12,0,玛尔济斯 1岁4个月3天,?欧恩金慕斯洗浴体验&miko洗护过程分享&常用洗护产品对比,4天前
